index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
66838;1303007;NHAMUNDÁ;AM;1;JOSE MARIA EYMAEL;DC;Presidente;11010;0;2010.0;195.12;54.61;7.91;3.69;23.74;4.64;0.586;0.513
66839;1303007;NHAMUNDÁ;AM;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;11010;0;2010.0;195.12;54.61;7.91;3.69;23.74;4.64;0.586;0.513
66840;1303007;NHAMUNDÁ;AM;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;11010;0;2010.0;195.12;54.61;7.91;3.69;23.74;4.64;0.586;0.513
66841;3529500;MENDONÇA;SP;1;JOSE MARIA EYMAEL;DC;Presidente;3744;0;2010.0;707.36;18.91;11.08;5.23;28.02;30.98;0.744;0.72
66842;2205003;ITAINÓPOLIS;PI;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;7416;0;2010.0;237.76;62.51;7.35;4.64;22.23;1.96;0.541;0.545
66843;3529807;MINEIROS DO TIETÊ;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;6709;0;2010.0;700.24;16.14;11.13;4.22;28.83;36.43;0.73;0.719
66844;2308807;MORAÚJO;CE;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;6034;0;2010.0;174.55;49.95;8.4;5.95;24.5;7.27;0.581;0.495
66845;2308906;MORRINHOS;CE;1;JOSE MARIA EYMAEL;DC;Presidente;13800;0;2010.0;208.9;39.86;10.43;3.94;23.42;11.18;0.588;0.524
66846;1507961;TERRA ALTA;PA;1;SOFIA PADUA MANZANO;PCB;Presidente;8377;0;2010.0;252.51;42.51;9.3;5.79;29.13;3.38;0.605;0.555
66847;1507979;TERRA SANTA;PA;1;JOSE MARIA EYMAEL;DC;Presidente;10752;0;2010.0;338.44;31.77;15.5;8.9;29.96;7.4;0.635;0.602
66848;1507979;TERRA SANTA;PA;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;10752;0;2010.0;338.44;31.77;15.5;8.9;29.96;7.4;0.635;0.602
66849;5003900;FIGUEIRÃO;MS;1;JOSE MARIA EYMAEL;DC;Presidente;1924;0;2010.0;541.93;46.99;13.74;3.93;27.27;0.63;0.66;0.677
66850;5003900;FIGUEIRÃO;MS;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;1924;0;2010.0;541.93;46.99;13.74;3.93;27.27;0.63;0.66;0.677
